id,season,episode,title,air_date,production_code,runtime,rating,label_fox_dvd,label_wikipedia,label_dom111,label_derived,label_contested,label_rationale,imdb_id,wikidata_qid,director,writers,guest_cast,tagline_text,tagline_is_variant,logline,review_status
s01e17,1,17,E.B.E.,1994-02-18,1X16,60,8.2,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751108,Q13422367,William Graham,James Wong; Glen Morgan,Jerry Hardin; Tom Braidwood; Bruce Harwood; Dean Haglund; Allan Lysell,The Truth Is Out There,False,,ai-drafted
s01e18,1,18,Miracle Man,1994-03-18,1X17,60,7.6,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751162,Q13560787,Michael Lange,Howard Gordon; Chris Carter,Scott Bairstow; R.D. Call; George Gerdes; Dennis Lipscomb; Iris Quinn; Chilton Crane; Howard Storey; Campbell Lane; Roger Haskett; Walter Marsh; Lisa Ann Beley; Alex Doduk,The Truth Is Out There,False,,ai-drafted
s01e19,1,19,Shapes,1994-04-01,1X18,60,7.4,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751202,Q3495244,David Nutter,Marilyn Osborn,Donnelly Rhodes; Michael Horse; Jimmy Herman; Ty Miller; Renae Morriseau; Dwight McFee; Paul McLean,The Truth Is Out There,False,,ai-drafted
s01e20,1,20,Darkness Falls,1994-04-15,1X19,60,8.1,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751097,Q5222659,Joe Napolitano,Chris Carter,Titus Welliver; Jason Beghe; Tom O'Rourke; Ken Tremblett; Barry Greene; David Hay,The Truth Is Out There,False,,ai-drafted
s01e21,1,21,Tooms,1994-04-22,1X20,60,7.9,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751246,Q15427158,David Nutter,James Wong; Glen Morgan,Doug Hutchison; Henry Beckman; Paul Ben-Victor; Mitch Pileggi; William B. Davis; Catherine Lough Haggquist; Timothy Webber; Jerry Wasserman; Glynis Davies; Jan D'Arcy; Mikal Dughi; Frank C. Turner; Steve Adams; Andre Daniels; Pat Bermel; Gillian Carfra,The Truth Is Out There,False,,ai-drafted
s01e22,1,22,Born Again,1994-04-29,1X21,60,7.6,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751086,Q5223735,Jerrold Freedman,Alex Gansa; Howard Gordon,Brian Markinson; Maggie Wheeler; Andrea Libman; Dey Young; Mimi Lieber; Leslie Carlson; P. Lynn Johnson; Richard Sali; Peter Lapres; Dwight Koss,The Truth Is Out There,False,,ai-drafted
s01e23,1,23,Roland,1994-05-06,1X22,60,7.4,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751193,Q2612303,David Nutter,Chris Ruppenthal,Željko Ivanek; James Sloyan; Kerry Sandomirsky; Garry Davey; Micole Mercurio; Suleka Mathew; Matthew Walker; David Hurtubise,The Truth Is Out There,False,,ai-drafted
s01e24,1,24,The Erlenmeyer Flask,1994-05-13,1X23,60,8.8,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751224,Q15427157,R.W. Goodwin,Chris Carter,Jerry Hardin; Lindsey Ginter; Anne DeSalvo; Simon Webb; William B. Davis; Ken Kramer; John Payne; Mike Mitchell; Phillip MacKenzie; Jaylene Hamilton; James Leard,Trust No One,True,,ai-drafted
s02e01,2,1,Little Green Men,1994-09-16,2X01,60,8.2,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751154,Q4277671,David Nutter,James Wong; Glen Morgan,Mitch Pileggi; Raymond J. Barry; Mike Gomez; William B. Davis; Vanessa Morley; Fulvio Cecere; Leslie Carlson; Bob Wilde; Gary Hetherington; Dwight McFee; Deryl Hayes; Marcus Turner; Lisa Ann Beley,The Truth Is Out There,False,,ai-drafted
s02e02,2,2,The Host,1994-09-23,2X02,60,8.3,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751228,Q5222649,Dan Sackheim,Chris Carter,Mitch Pileggi; Hrothgar Mathews; Darin Morgan; Gabrielle Rose; William MacDonald; Dmitri Boudrine; Don MacKay; Ron Sauvé; Matthew Bennett; Marc Baur; Freddy Andreiuci; Raoul Ganeev,The Truth Is Out There,False,,ai-drafted
s02e03,2,3,Blood,1994-09-30,2X03,60,7.5,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751085,Q4241517,David Nutter,James Wong; Darin Morgan; Glen Morgan,William Sanderson; Ashlyn Gere; John Cygan; George Touliatos; Tom Braidwood; Bruce Harwood; Dean Haglund; Bill Mackenzie; BJ Harrison; Kathleen Duborg; David Fredericks; John Harris; Gerry Rousseau; Andre Daniels; Diana Stevan,The Truth Is Out There,False,,ai-drafted
s02e04,2,4,Sleepless,1994-10-07,2X04,60,7.8,not-listed,not-flagged,mythology,standalone,True,1 of 3 voting sources say mythology; features no non-recurring paranormal antagonist.,tt0751204,Q13552171,Rob Bowman,Howard Gordon,Mitch Pileggi; Nicholas Lea; Steven Williams; Jon Gries; Tony Todd; William B. Davis; Mitchell Kosterman; Michael Puttonen; Anna Hagan; Don Thompson; Paul Bittante; Claude De Martino; Dave Adams,The Truth Is Out There,False,,ai-drafted
s02e05,2,5,Duane Barry,1994-10-14,2X05,60,8.7,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751107,Q2012623,Chris Carter,Chris Carter,Nicholas Lea; Steve Railsback; CCH Pounder; Robert Lewis; Sarah Strange; Tosca Baggoo; Fred Henderson; Michael Dobson; Barbara Pollard; Stephen E. Miller; Prince Maryland; Tim Dixon; Frank C. Turner; John Sampson,The Truth Is Out There,False,,ai-drafted
s02e06,2,6,Ascension,1994-10-21,2X06,60,8.6,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751077,Q2480642,Michael Lange,Paul Brown,Mitch Pileggi; Nicholas Lea; Sheila Larken; Steven Williams; Steve Railsback; William B. Davis; Michael David Simms; Steve Makaj; Bobby Stewart; Peter LaCroix; Peter Lapres; Meredith Bain Woodward,Deny Everything,True,,ai-drafted
s02e07,2,7,3,1994-11-04,2X07,60,7,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751066,Q2338691,David Nutter,James Wong; Glen Morgan; Chris Ruppenthal,Perrey Reeves; Frank Military; Justina Vail; Guyle Fraizer; Tom McBeath; Ken Kramer; Malcolm Stewart; John Tierney; Gustavo Moreno; Frank Ferrucci; David Livingstone; Brad Loree; Roger Allford; Richard Yee,The Truth Is Out There,False,,ai-drafted
s02e08,2,8,One Breath,1994-11-11,2X08,60,8.3,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751169,Q2342991,R.W. Goodwin,James Wong; Glen Morgan,Mitch Pileggi; William B. Davis; Sheila Larken; Steven Williams; Melinda McGraw; Don S. Davis; Tom Braidwood; Bruce Harwood; Dean Haglund; Tegan Moss; Jay Brazeau; Nicola Cavendish; Lorena Gale; Michael Ryan,The Truth Is Out There,False,,ai-drafted
s02e09,2,9,Firewalker,1994-11-18,2X09,60,7.5,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751125,Q4331113,David Nutter,Howard Gordon,Bradley Whitford; Leland Orser; Shawnee Smith; Tuck Milligan; Hiro Kanagawa; David Lewis; David Kaye; Torren Rolfsen,The Truth Is Out There,False,,ai-drafted
s02e10,2,10,Red Museum,1994-12-09,2X10,60,7.9,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751185,Q4239700,Win Phelps,Chris Carter,Lindsey Ginter; Mark Rolston; Paul Sand; Steve Eastin; Gillian Barber; Elisabeth Rosen; Bob Frazer; Brian Knox McGugan; Gerry Nairn; Crystal Verge; Robert Clothier; Cameron Labine; Tony Sampson,The Truth Is Out There,False,,ai-drafted
s02e11,2,11,Excelsis Dei,1994-12-16,2X11,60,7.3,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751117,Q4422825,Stephen Surjik,Paul Brown,Teryl Rothery; Frances Bay; Sab Shimono; Eric Christmas; David Fresco; Paul Jarrett; Jerry Wasserman; Tasha Simms; Johnny Cuthbert; Sheila Moore; Ernie Prentice,The Truth Is Out There,False,,ai-drafted
s02e12,2,12,Aubrey,1995-01-06,2X12,60,7.8,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751078,Q4329882,Rob Bowman,Sara B. Cooper,Terry O'Quinn; Morgan Woodward; Joy Coghill; Deborah Strang; Sarah Jane Redmond; Emanuel Hajek; Peter Flemming; Robyn Driscoll,The Truth Is Out There,False,,ai-drafted
s02e13,2,13,Irresistible,1995-01-13,2X13,60,7.9,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751144,Q4317253,David Nutter,Chris Carter,Nick Chinlund; Bruce Weitz; Christine Willes; Glynis Davies; Deanna Milligan; Kathleen Duborg; Robert Thurston; Denalda Williams; Dwight McFee; Clara Hunter; Maggie Blue O'Hara; Tim Progosh; Mark Saunders,The Truth Is Out There,False,,ai-drafted
s02e14,2,14,Die Hand Die Verletzt,1995-01-27,2X14,60,8.2,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751102,Q4162624,Kim Manners,James Wong; Glen Morgan,Heather McComb; Susan Blommaert; Dan Butler; Laura Harris; Shaun Johnson; P. Lynn Johnson; Doug Abrahams; Larry Musser; Travis MacDonald; Michele Goodger; Frank Czinege,The Truth Is Out There,False,,ai-drafted
s02e15,2,15,Fresh Bones,1995-02-03,2X15,60,7.1,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751128,Q4410048,Rob Bowman,Howard Gordon,Steven Williams; Callum Keith Rennie; Jamil Walker Smith; Matt Hill; Daniel Benzali; Bruce A. Young; Roger Cross; Kevin Conway; Peter Kelamis; Katya Gardner,The Truth Is Out There,False,,ai-drafted
s02e16,2,16,Colony,1995-02-10,2X16,60,8.6,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751093,Q13567052,Nick Marck,David Duchovny; Chris Carter,Mitch Pileggi; Brian Thompson; Peter Donat; Megan Leitch; Dana Gladstone; Tom Butler; Rebecca Toolan; Andrew Johnston; Bonnie Hay; Tim Henry; Ken Roberts; Michael Rogers; David L. Gordon; Richard Sargent; Linden Banks; Oliver Becker; James Leard; Kim Restell,The Truth Is Out There,False,,ai-drafted
s02e17,2,17,End Game,1995-02-17,2X17,60,8.6,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751114,Q11681479,Rob Bowman,Frank Spotnitz,Mitch Pileggi; Steven Williams; Brian Thompson; Peter Donat; Megan Leitch; Colin Cunningham; Andrew Johnston; Bonnie Hay; Allan Lysell; Garry Davey; Beatrice Zeilinger; Oliver Becker; J.B. Bivens,The Truth Is Out There,False,,ai-drafted
s02e18,2,18,Fearful Symmetry,1995-02-24,2X18,60,7.1,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751121,Q5439432,"James Whitmore, Jr.",Steve DeJarnatt,Jayne Atkinson; Lance Guest; Jack Rader; Tom Braidwood; Bruce Harwood; Jody St. Michael; Garvin Cross; Charles André; Tom Glass,The Truth Is Out There,False,,ai-drafted
s02e19,2,19,Død Kalm,1995-03-10,2X19,60,7.7,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751103,Q5320392,Rob Bowman,Alex Gansa; Howard Gordon,John Savage; David Cubitt; Mar Andersons; Vladimir Kulich; John McConnach; Kelly Irving; Dmitry Chepovetsky; Stephen Dimopoulos; Claire Riley; Robert Metcalfe,The Truth Is Out There,False,,ai-drafted
s02e20,2,20,Humbug,1995-03-31,2X20,60,8.2,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751139,Q15630296,Kim Manners,Darin Morgan,Michael J. Anderson; Denis Simpson; Devin Walker; Vincent Schiavelli; The Enigma; Blair Slater; Wayne Grace; Jim Rose; Alex Diakun; John Payne; George Tipple; Alvin Law,The Truth Is Out There,False,,ai-drafted
s02e21,2,21,The Calusari,1995-04-14,2X21,60,7.7,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751222,Q7721046,Michael Vejar,Sara B. Cooper,Joel Palmer; Issac Wildsmith; Jeremy Wildsmith; Kay E. Kuter; Lilyan Chauvin; Helena Clarkson; Oliver Wildsmith; Bill Dow; Christine Willes; Campbell Lane; George Josef; Jacqueline Dandenaeu; Ric Reid; Bill Croft,The Truth Is Out There,False,,ai-drafted
s02e22,2,22,F. Emasculata,1995-04-28,2X22,60,8.1,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751119,Q5423885,Rob Bowman,Howard Gordon; Chris Carter,Mitch Pileggi; William B. Davis; John Pyper-Ferguson; Dean Norris; Charles Martin Smith; Angelo Vacco; Lynda Boyd; John Tench; Alvin Sanders; Chilton Crane; Kim Kondrashoff; Jude Zachary; Morris Panych; Bill Rowat,The Truth Is Out There,False,,ai-drafted
s02e23,2,23,Soft Light,1995-05-05,2X23,60,7.9,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751206,Q7553905,James A. Contner,Vince Gilligan,Tony Shalhoub; Kevin McNulty; Kate Twa; Steve Bacic; Nathaniel DeVeaux; Forbes Angus; Robert Rozen; Guyle Fraizer; Donna Yamamoto; Craig Bruhnanski,The Truth Is Out There,False,,ai-drafted
s02e24,2,24,Our Town,1995-05-12,2X24,60,8,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751173,Q7111215,Rob Bowman,Frank Spotnitz,Timothy Webber; John Milford; Gary Grubbs; Caroline Kava; Gabrielle Miller; Robert Moloney; Hrothgar Mathews; Carrie Cain Sparks; John Maclaren; Robin Mossley,The Truth Is Out There,False,,ai-drafted
s02e25,2,25,Anasazi,1995-05-19,2X25,60,9,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751074,Q4751789,R.W. Goodwin,David Duchovny; Chris Carter,"Mitch Pileggi; William B. Davis; Nicholas Lea; Peter Donat; Floyd ""Red Crow"" Westerman; Tom Braidwood; Bruce Harwood; Dean Haglund; Michael David Simms; Ken Camroux-Taylor; Dakota House; Paul McLean; Renae Morriseau; Bernie Coulson; Mitchell Davies",Éí 'Aaníígóó 'Áhoot'é,True,,ai-drafted
s03e01,3,1,The Blessing Way,1995-09-22,3X01,60,8.3,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751221,Q11704378,R.W. Goodwin,Chris Carter,"Mitch Pileggi; William B. Davis; Tom Braidwood; Nicholas Lea; Sheila Larken; Jerry Hardin; John Neville; Peter Donat; Floyd ""Red Crow"" Westerman; Melinda McGraw; Tim Michael; Don S. Williams; Rebecca Toolan; Michael David Simms; Lenno Britos; Dakota House; Benita Ha; Alfred E. Humphreys; Forbes Angus; Ernie Foort; Ian Victor; Mitch Davies",The Truth Is Out There,False,,ai-drafted
s03e02,3,2,Paper Clip,1995-09-29,3X02,60,8.6,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751174,Q10750168,Rob Bowman,Chris Carter,"Mitch Pileggi; William B. Davis; Tom Braidwood; Bruce Harwood; Dean Haglund; Nicholas Lea; Sheila Larken; John Neville; Floyd ""Red Crow"" Westerman; Melinda McGraw; Walter Gotell; Don S. Williams; Rebecca Toolan; Lenno Britos; Robert Lewis",The Truth Is Out There,False,,ai-drafted
s03e03,3,3,D.P.O.,1995-10-06,3X03,60,7.8,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751095,Q5203438,Kim Manners,Howard Gordon,Giovanni Ribisi; Jack Black; Karen Lorre; Aaron Poole; Ernie Lively; Jase Anthony Griffith; Peter Anderson; Kate Robbins; Brent Chapman; Steve Makaj; Mar Andersons,The Truth Is Out There,False,,ai-drafted
s03e04,3,4,Clyde Bruckman's Final Repose,1995-10-13,3X04,60,8.9,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751092,Q1989257,David Nutter,Darin Morgan,Peter Boyle; Stu Charno; Doris Rands; Jaap Broeker; Karin Konoval; Alex Diakun; Greg Anderson; Frank Cassini; Ken Roberts; Dwight McFee,The Truth Is Out There,False,,ai-drafted
s03e05,3,5,The List,1995-10-20,3X05,60,7.1,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751230,Q7747536,Chris Carter,Chris Carter,Bokeem Woodbine; Badja Djola; April Grace; Ken Foree; Miguelito Macario; J.T. Walsh; John Toles-Bey; Mitchell Kosterman; JP Finn; Denny Arnold; Paul R. Kin; Greg Rogers; Craig Bruhnanski; Bruce Pinard; Don MacKay,The Truth Is Out There,False,,ai-drafted
s03e06,3,6,2Shy,1995-11-03,3X06,60,7.5,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751065,Q4633220,David Nutter,Jeff Vlaming,Beverley Elliott; Catherine Paolone; Timothy Carhart; James Handy; William MacDonald; Saraphina Joachim; Glynis Davies; Kerry Sandomirsky; Aloka McLean; Randi Lynne,The Truth Is Out There,False,,ai-drafted
s03e07,3,7,The Walk,1995-11-10,3X07,60,7.7,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751240,Q7773267,Rob Bowman,John Shiban,Ian Tracey; Willie Garson; Thomas Kopache; Don Thompson; Nancy Sorel; Paula Shaw; Deryl Hayes; Beatrice Zeilinger; Rob Lee; Andrea Barclay,The Truth Is Out There,False,,ai-drafted
s03e08,3,8,Oubliette,1995-11-17,3X08,60,8,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751172,Q7110237,Kim Manners,Charlie Craig,Jewel Staite; Michael Chieffo; Tracey Ellis; Ken Ryan; David Lewis; Bonnie Hay; David Fredericks; Dollie Scarr; Robert Underwood; Dean Wray; Jacques LaLonde; Sidonie Boll,The Truth Is Out There,False,,ai-drafted
